/n/home06/drooryck/spectral-profling-gnns/spectral/datasets.py:31: UserWarning: The WikiCS dataset now returns an undirected graph by default. Please explicitly specify 'is_undirected=False' to restore the old behavior.
  wikics = WikiCS(root=os.path.join(data_dir, 'wikics'))
Run directory: spectral_massive_slurm/Chameleon/array_9652978_4/paper_massive_20260502-072240
Datasets: 1
Sweep: models=['GPRGNN', 'ChebGNN', 'BernNet', 'JacobiConv'], k=[4, 10], hidden=[64, 128], runs=10, epochs=[500], patience=[50], lr=[0.01, 0.005, 0.001], weight_decay=[0.0005, 0.0001, 0.0], max_task_batch=90, device=cuda

[1/1] Chameleon: 890 nodes, 8854 edges, 5 classes
  Chameleon | GPRGNN | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | GPRGNN | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | GPRGNN | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | GPRGNN | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | ChebGNN | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | ChebGNN | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | ChebGNN | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | ChebGNN | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | BernNet | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | BernNet | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | BernNet | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | BernNet | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | JacobiConv | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | JacobiConv | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | JacobiConv | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Chameleon | JacobiConv | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90

Wrote run to spectral_massive_slurm/Chameleon/array_9652978_4/paper_massive_20260502-072240
