/n/home06/drooryck/spectral-profling-gnns/spectral/datasets.py:31: UserWarning: The WikiCS dataset now returns an undirected graph by default. Please explicitly specify 'is_undirected=False' to restore the old behavior.
  wikics = WikiCS(root=os.path.join(data_dir, 'wikics'))
Run directory: spectral_massive_slurm/Minesweeper/array_9652978_16/paper_massive_20260502-111217
Datasets: 1
Sweep: models=['GPRGNN', 'ChebGNN', 'BernNet', 'JacobiConv'], k=[4, 10], hidden=[64, 128], runs=10, epochs=[500], patience=[50], lr=[0.01, 0.005, 0.001], weight_decay=[0.0005, 0.0001, 0.0], max_task_batch=90, device=cuda

[1/1] Minesweeper: 10000 nodes, 78804 edges, 2 classes
  Minesweeper | GPRGNN | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | GPRGNN | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | GPRGNN | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | GPRGNN | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | ChebGNN | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | ChebGNN | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | ChebGNN | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | ChebGNN | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | BernNet | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | BernNet | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | BernNet | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | BernNet | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | JacobiConv | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | JacobiConv | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | JacobiConv | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Minesweeper | JacobiConv | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90

Wrote run to spectral_massive_slurm/Minesweeper/array_9652978_16/paper_massive_20260502-111217
