/n/home06/drooryck/spectral-profling-gnns/spectral/datasets.py:31: UserWarning: The WikiCS dataset now returns an undirected graph by default. Please explicitly specify 'is_undirected=False' to restore the old behavior.
  wikics = WikiCS(root=os.path.join(data_dir, 'wikics'))
Run directory: spectral_massive_slurm/Photo/array_9652978_2/paper_massive_20260502-071541
Datasets: 1
Sweep: models=['GPRGNN', 'ChebGNN', 'BernNet', 'JacobiConv'], k=[4, 10], hidden=[64, 128], runs=10, epochs=[500], patience=[50], lr=[0.01, 0.005, 0.001], weight_decay=[0.0005, 0.0001, 0.0], max_task_batch=90, device=cuda

[1/1] Photo: 7650 nodes, 238162 edges, 8 classes
  Photo | GPRGNN | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | GPRGNN | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | GPRGNN | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | GPRGNN | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | ChebGNN | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | ChebGNN | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | ChebGNN | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | ChebGNN | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | BernNet | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | BernNet | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | BernNet | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | BernNet | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | JacobiConv | K=4 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | JacobiConv | K=4 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | JacobiConv | K=10 | hidden=64 | epochs=500 | patience=50 | tasks 1-90/90
  Photo | JacobiConv | K=10 | hidden=128 | epochs=500 | patience=50 | tasks 1-90/90

Wrote run to spectral_massive_slurm/Photo/array_9652978_2/paper_massive_20260502-071541
